symbol,close,delivery_pct,volume,turnover,Score,Label
SAMHI,165.25,59.98,313530,51810832.5,1,⚪ Neutral
BIRLACORPN,986.1,61.09,52310,51582891.0,1,⚪ Neutral
MINDACORP,574.8,51.42,89247,51299175.599999994,1,⚪ Neutral
TARC,149.0,51.04,342744,51068856.0,1,⚪ Neutral
SHANTIGOLD,208.9,57.56,244057,50983507.300000004,1,⚪ Neutral
ABBOTINDIA,26410.0,51.73,1908,50390280.0,1,⚪ Neutral
INOXINDIA,1150.0,50.84,43731,50290650.0,1,⚪ Neutral
INDRAMEDCO,404.55,54.89,124190,50241064.5,1,⚪ Neutral
EPIGRAL,928.6,54.74,53386,49574239.6,1,⚪ Neutral
EMUDHRA,438.3,50.41,110395,48386128.5,1,⚪ Neutral
EBGNG,375.25,64.79,128929,48380607.25,1,⚪ Neutral
GOODLUCK,1199.9,52.04,39748,47693625.2,1,⚪ Neutral
A2ZINFRA,18.9,56.15,2517109,47573360.099999994,1,🔴 Flagged (Unsafe)
IONEXCHANG,370.0,50.05,127881,47315970.0,1,⚪ Neutral
SAREGAMA,327.2,62.26,144585,47308212.0,1,⚪ Neutral
FINOPB,209.3,50.36,223225,46720992.5,1,⚪ Neutral
MOTISONS,15.96,50.89,2921753,46631177.88,1,🔴 Flagged (Unsafe)
ARVINDFASN,436.65,51.54,106687,46584878.55,1,⚪ Neutral
VARDMNPOLY,8.62,66.48,5308595,45760088.9,1,🔴 Flagged (Unsafe)
ALPHA,48.99,50.85,933958,45754602.42,1,⚪ Neutral
ALKYLAMINE,1498.0,53.36,30518,45715964.0,1,⚪ Neutral
AAATECH,105.0,96.01,434223,45593415.0,1,⚪ Neutral
SEAMECLTD,1322.6,55.24,34438,45547698.8,1,⚪ Neutral
ISGEC,895.95,50.46,50616,45349405.2,1,⚪ Neutral
ASAHIINDIA,933.0,51.72,48599,45342867.0,1,⚪ Neutral
CARBORUNIV,836.75,53.95,53407,44688307.25,1,⚪ Neutral
RKFORGE,543.0,52.25,81524,44267532.0,1,⚪ Neutral
AKUMS,482.95,52.03,91602,44239185.9,1,⚪ Neutral
GTLINFRA,1.09,66.63,40388413,44023370.17,1,🔴 Flagged (Unsafe)
EPACKPEB,180.77,63.11,243283,43978267.910000004,1,⚪ Neutral
MEDIASSIST,385.95,55.53,113001,43612735.949999996,1,⚪ Neutral
SHK,149.89,50.41,289103,43333648.669999994,1,⚪ Neutral
IBULLSLTD,9.45,53.73,4547717,42975925.65,1,🔴 Flagged (Unsafe)
LOWVOLIETF,22.76,91.32,1866252,42475895.52,1,⚪ Neutral
NOCIL,148.0,52.76,285374,42235352.0,1,⚪ Neutral
TRAVELFOOD,1235.7,57.14,34126,42169498.2,1,⚪ Neutral
REPCOHOME,383.0,68.81,109770,42041910.0,1,⚪ Neutral
EMIL,100.5,50.55,415834,41791317.0,1,⚪ Neutral
UTIAMC,1026.0,51.38,40687,41744862.0,1,⚪ Neutral
SIS,304.2,63.62,135277,41151263.4,1,⚪ Neutral
JKIL,545.0,55.74,75333,41056485.0,1,⚪ Neutral
TICL,25.99,60.86,1572682,40874005.18,1,⚪ Neutral
NITCO,77.0,89.46,530727,40865979.0,1,⚪ Neutral
ARIHANTSUP,263.1,53.8,154348,40608958.800000004,1,⚪ Neutral
MASFIN,339.0,59.08,119755,40596945.0,1,⚪ Neutral
IFBIND,1094.0,58.65,36919,40389386.0,1,⚪ Neutral
GHCL,493.2,60.51,81841,40363981.199999996,1,⚪ Neutral
